habitat,slope
boulder,-3.551571776634964
boulder,-3.8706241757655526
boulder,-3.25967402250846
boulder,-3.8959233712025942
boulder,-3.796053358575176
boulder,-2.46469918074142
boulder,-3.1925471457320875
boulder,-3.0006762169739045
boulder,-3.1786814627493345
boulder,-4.068981944840926
boulder,-3.396914964417979
boulder,-2.8878229449727204
boulder,-3.2205325327260037
boulder,-4.062010514372204
boulder,-3.3158780621494555
boulder,-3.39735268832446
boulder,-3.152057131945228
boulder,-3.271955574435106
boulder,-2.6174372605617116
boulder,-4.144963099331769
boulder,-3.6862095503006334
boulder,-2.966245814853074
boulder,-2.66710347873615
boulder,-3.033996026491994
boulder,-3.441988557121472
boulder,-3.117081821982761
boulder,-2.9524834799677446
boulder,-2.5580480253367694
boulder,-3.832462930456109
boulder,-2.335774026958917
boulder,-2.877769493601234
boulder,-3.30317805208363
boulder,-2.8853880174390025
boulder,-3.1603079369735103
boulder,-2.9098411616375714
boulder,-2.7734380460440513
boulder,-2.839145273575473
boulder,-3.913802905537223
boulder,-3.631283320721968
boulder,-3.1066096970870736
boulder,-3.2280325118604667
boulder,-3.1202855156577964
boulder,-3.518972116341422
boulder,-4.320228573392081
boulder,-2.779610284807546
boulder,-3.609603731356536
boulder,-3.3912035159124536
boulder,-3.0541097954285736
boulder,-2.587119298931773
boulder,-2.991474936181863
boulder,-2.5246458255581357
boulder,-2.9933774424919295
boulder,-2.718090595436385
boulder,-3.06870697834793
boulder,-3.0693324246859146
boulder,-3.0150087689062475
boulder,-2.2343537889255423
boulder,-3.8135174789672437
boulder,-3.1706756451902742
boulder,-2.4416752290138533
boulder,-2.339412128706883
boulder,-3.709787475479657
boulder,-3.755346887725685
boulder,-2.244742803930041
boulder,-2.7094120517210825
boulder,-3.256133541105881
boulder,-2.641954963486963
boulder,-3.6560196409276817
boulder,-3.575445434773367
boulder,-3.7155971673556922
boulder,-2.6612227395527843
boulder,-3.0488896307181803
boulder,-3.0966014188227655
boulder,-2.689886266206628
boulder,-3.4767770284393484
boulder,-2.8825030199495076
boulder,-3.4408851244441108
boulder,-3.935543112331093
boulder,-3.9346417967812575
boulder,-2.930867758867807
boulder,-3.238468484450979
boulder,-4.065534918511103
boulder,-3.6296298171719985
boulder,-3.623250977144933
boulder,-4.017069063992294
boulder,-3.2982057048230757
boulder,-4.048750914277099
boulder,-3.255549752804984
boulder,-3.394877531546125
boulder,-2.4836618101186563
boulder,-3.1254683252131534
